symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,LONG,1786809767412,1786809768094,1786809788823,9.516,9.523,2.6280518403083057,1.0509169250164951,7.356031946195537,7.356031946195537,9.457755359395062,-1.0508617065988293,20729,682,687,positive_trailing_stop
LINK_USDT,LONG,1786809790678,1786809791428,1786809810235,9.526,9.534,2.0996273238642273,1.0498136580751096,8.39806844425876,8.39806844425876,11.547344110855564,-1.0497585555316458,18807,750,833,positive_trailing_stop
LINK_USDT,SHORT,1786809813894,1786809814572,1786809829625,9.532,9.534,-2.097645400736914,1.0490427484914198,-2.0981955518261306,-2.0981955518261306,4.196391103650399,-2.0981955518261306,15053,678,378,positive_trailing_stop
LINK_USDT,SHORT,1786809837394,1786809838102,1786809844665,9.532,9.537,-1.5735228586664103,1.0490427484914198,-5.2454888795643955,-5.2454888795643955,0.0,-6.294586655476529,6563,708,340,live_adverse_cut
LINK_USDT,LONG,1786809852267,1786809853309,1786809854599,9.542,9.542,2.0963261960310198,1.0480532411040673,0.0,0.0,1.047998323202102,-1.047998323202102,1290,1042,348,binance_target_caught
LINK_USDT,SHORT,1786809856510,1786809857162,1786809862375,9.534,9.535,-2.0961064898844914,1.0488226965225713,-1.0488777008594983,-1.0488777008594983,0.0,-4.1955108034398565,5213,652,387,live_adverse_cut
LINK_USDT,SHORT,1786809867432,1786809868489,1786809885902,9.526,9.53,-3.1469632065024977,1.049703458772315,-4.199034222128447,-4.199034222128447,0.0,-6.298551333193605,17413,1057,494,live_adverse_cut
LINK_USDT,SHORT,1786809908331,1786809908938,1786809937657,9.526,9.523,-2.0987460069678283,1.049703458772315,3.1492756665968025,3.1492756665968025,6.298551333193605,-1.0497585555316458,28719,607,1777,positive_trailing_stop
LINK_USDT,SHORT,1786809941331,1786809942020,1786809945998,9.52,9.521,-2.10050938124686,1.0503650018394224,-1.0504201680685106,-1.0504201680685106,1.0504201680666447,-1.0504201680685106,3978,689,384,binance_target_caught
LINK_USDT,LONG,1786809947586,1786809948241,1786809950218,9.522,9.518,2.100950687910776,1.0502546867609577,-4.200798151648351,-4.200798151648351,0.0,-4.200798151648351,1977,655,606,live_adverse_cut
LINK_USDT,SHORT,1786809951024,1786809951668,1786809954318,9.516,9.518,-2.101392180045914,1.0508064939835504,-2.1017234131995246,-2.1017234131995246,0.0,-2.1017234131995246,2650,644,651,live_adverse_cut
LINK_USDT,LONG,1786809963269,1786809963917,1786809973332,9.523,9.52,3.1512605302806453,1.0501443948537104,-3.150267772760804,-3.150267772760804,0.0,-3.150267772760804,9415,648,789,live_adverse_cut
LINK_USDT,SHORT,1786809973582,1786809974321,1786809978417,9.515,9.515,-3.6769534229121277,1.0509169250164951,-0.0,-0.0,2.101944298476792,-1.0509721492374626,4096,739,399,binance_target_caught
LINK_USDT,SHORT,1786810010695,1786810011361,1786810015749,9.513,9.513,-2.1018338577728066,1.0511378567293275,-0.0,-0.0,1.051193104172654,-1.051193104172654,4388,666,603,binance_target_caught
LINK_USDT,SHORT,1786810018587,1786810020411,1786810024565,9.508,9.511,-2.103160005650205,1.0516905926289344,-3.1552376945731107,-3.1552376945731107,0.0,-3.1552376945731107,4154,1824,392,live_adverse_cut
LINK_USDT,SHORT,1786810106544,1786810107177,1786810110025,9.5,9.502,-2.1036024269003173,1.0525761802004587,-2.1052631578954397,-2.1052631578954397,0.0,-2.1052631578954397,2848,633,855,live_adverse_cut
LINK_USDT,LONG,1786810111674,1786810112372,1786810121209,9.505,9.499,1.5785734990287326,1.052133200064414,-6.312467122567308,-6.312467122567308,0.0,-7.364544976329772,8837,698,456,live_adverse_cut
LINK_USDT,SHORT,1786810122808,1786810123479,1786810129118,9.498,9.5,-2.105595628143583,1.0527978101818414,-2.1057064645195496,-2.1057064645195496,0.0,-2.1057064645195496,5639,671,329,live_adverse_cut
LINK_USDT,LONG,1786810153684,1786810154315,1786810160166,9.494,9.494,1.580236512019192,1.0533522936740356,0.0,0.0,0.0,-2.1065936380860455,5851,631,324,live_adverse_cut
LINK_USDT,LONG,1786810165505,1786810166184,1786810195176,9.501,9.499,2.1053739748275215,1.0525761802004587,-2.105041574569931,-2.105041574569931,0.0,-2.105041574569931,28992,679,1137,live_adverse_cut
LINK_USDT,LONG,1786810207929,1786810209696,1786810227568,9.535,9.53,4.210747996318257,1.0488226965225713,-5.243838489775334,-5.243838489775334,0.0,-6.292606187729657,17872,1767,381,live_adverse_cut
