symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,LONG,1786810700292,1786810700302,1786810700699,9.494,9.496,2.106482708298739,1.0533522936740356,2.1065936380879164,2.1065936380879164,2.1065936380879164,-1.0532968190430227,397,10,34,binance_target_caught
LINK_USDT,LONG,1786810712815,1786810712826,1786810747192,9.496,9.498,2.106039074807511,1.0531304302050677,2.1061499578758336,2.1061499578758336,2.1061499578758336,-1.0530749789397873,34366,11,14,binance_target_caught
LINK_USDT,SHORT,1786810753873,1786810753880,1786810767070,9.5,9.498,-2.1053739748266986,1.0525761802004587,2.1052631578954397,2.1052631578954397,2.1052631578954397,-1.052631578946785,13190,7,54,binance_target_caught
LINK_USDT,LONG,1786810784513,1786810784518,1786810784814,9.497,9.499,2.105817328127028,1.053019533511763,2.1059281878494978,2.1059281878494978,2.1059281878494978,-1.0529640939238136,296,5,58,binance_target_caught
LINK_USDT,LONG,1786810795457,1786810795465,1786810795669,9.503,9.506,2.1044878280437556,1.052354643514281,3.1568978217406225,3.1568978217406225,3.1568978217406225,-1.0522992739129178,204,8,10,binance_target_caught
LINK_USDT,LONG,1786810812146,1786810812171,1786810831359,9.509,9.511,2.1033811930085577,1.0516905926289344,2.1032705857596925,2.1032705857596925,2.1032705857596925,-1.0516352928817143,19188,25,1,binance_target_caught
XRP_USDT,LONG,1786810864513,1786810864521,1786810926680,1.0017,1.0018,1.9967054426637525,0.9983527180151647,0.9983028850952279,0.998302885095228,0.9983028850952279,-0.9983028850952279,62159,8,6,timeout
LINK_USDT,SHORT,1786810929290,1786810929298,1786810929914,9.515,9.511,-1.5764996485524012,1.0509169250164951,4.203888596953584,4.203888596953584,4.203888596953584,-1.0509721492374626,616,8,56,binance_target_caught
LINK_USDT,LONG,1786810933506,1786810933523,1786810933945,9.511,9.513,2.1027177704545554,1.0514694285257828,2.1028283040696754,2.1028283040696754,2.1028283040696754,-1.0514141520339038,422,17,19,binance_target_caught
LINK_USDT,SHORT,1786810934438,1786810934445,1786810946740,9.514,9.516,-2.102275721203072,1.0510273792645142,-2.102165230187795,-2.102165230187795,1.051082615092964,-2.102165230187795,12295,7,7,live_adverse_cut
