symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason,requested_notional_usdt,filled_notional_usdt,fill_ratio,entry_base_qty,entry_limit_price,entry_depth_levels,exit_depth_levels,entry_book_levels,entry_visible_notional_usdt,equity_before_usdt,equity_after_usdt
LINK_USDT,LONG,1786835634697,1786835634874,1786835640949,9.518177228032718,9.516,2.1013921800468225,1.0506960861583632,-2.2874422072173344,-2.0444624330535888,0.0,-3.3380635352740016,6075,177,1429,live_adverse_cut,8942.068879308505,8937.766500079888,1.0,939.0208110179523,9.522759,2,1,20,121711.83490000002,53.652413275851025,51.607950842797436
XRP_USDT,SHORT,1786835642829,1786835643000,1786835710089,1.0017,1.0012,-2.994310831836176,0.9982530571498777,4.99151442547614,4.295511607488526,4.99151442547614,-0.9983028850952279,67089,171,309,binance_target_caught,8601.325140466239,8605.62795444346,1.0,8591.023214977997,1.0011991500000001,1,1,20,926071.0147,51.607950842797436,55.903462450285964
LINK_USDT,LONG,1786835712960,1786835713146,1786835717030,9.516185897878291,9.516,2.1018338577736353,1.0509169250164951,-0.19534914543060558,-0.18192415384406824,0.8554920326745886,-1.2461903235357996,3884,186,158,binance_target_caught,9317.243741714328,9312.76937214418,1.0,978.6241538451382,9.520757999999999,2,1,20,93392.95880000002,55.903462450285964,55.7215382964419
LINK_USDT,LONG,1786835736408,1786835736566,1786835747088,9.52,9.521792386190437,2.1011714107891093,1.0504753400908091,1.8827586034011208,1.7476296122334003,2.1008403361351555,-1.0504201680666447,10522,158,358,binance_target_caught,9286.923049406983,9282.281908452758,1.0,975.0296122324326,9.524759999999999,1,2,20,126449.05410000001,55.7215382964419,57.4691679086753
DOGE_USDT,SHORT,1786835818279,1786835818446,1786835879239,0.06961,0.06962,-2.8725314380630382,2.872737719045137,-1.4365752047114095,-1.3766680282307755,0.0,-2.873150409422819,60793,167,752,timeout,9578.194651445885,9582.986144518143,1.0,137666.8028231309,0.069575195,1,1,20,497606.672,57.4691679086753,56.09249988044453
LINK_USDT,LONG,1786835911137,1786835911297,1786835915901,9.513000000000002,9.515,2.1022757212021883,1.051248357423859,2.1023862083453078,1.9644860593079698,2.1023862083453078,-1.051193104174521,4604,160,2275,binance_target_caught,9348.749980074088,9344.077941103538,1.0,982.2430296545293,9.517756499999999,1,1,20,93151.9318,56.09249988044453,58.0569859397525
XRP_USDT,LONG,1786835917288,1786835917448,1786835978377,1.0014,1.0013,1.997104205550101,0.998651820042832,-0.9986019572597261,-0.9657807728142138,0.9986019572597261,-0.9986019572597261,60929,160,375,timeout,9676.164323292083,9671.328658962602,1.0,9657.807728143202,1.0019007,1,1,20,1181949.2607,58.0569859397525,57.09120516693829
LINK_USDT,LONG,1786835982934,1786835983112,1786836003343,9.504,9.507,2.104266407894424,1.052243910137787,3.156565656565776,3.002034608061103,3.156565656565776,-1.052188552187969,20231,178,1297,binance_target_caught,9515.200861156382,9510.445638337213,1.0,1000.6782026869963,9.508752,1,1,20,103729.7181,57.09120516693829,60.09323977499939
LINK_USDT,SHORT,1786836056290,1786836056495,1786836069879,9.504,9.507,-2.1042664078936797,1.052133200064414,-3.156565656565776,-3.1630524739959243,0.0,-3.156565656565776,13384,205,1455,live_adverse_cut,10015.539962499899,10020.550237618709,1.0,1054.3508246652682,9.499248,1,1,20,86601.1693,60.09323977499939,56.930187301003464
LINK_USDT,SHORT,1786836072634,1786836072844,1786836078694,9.504875595198184,9.504,-2.1040450343247348,1.0520225132812009,0.9212063739445933,0.8745000000002471,0.9212063739445933,-1.1829768738730404,5850,210,2243,binance_target_caught,9488.364550167245,9492.986856524341,1.0,998.7491957622412,9.500247500000002,2,1,20,80692.9478,56.930187301003464,57.80468730100371
LINK_USDT,SHORT,1786836121804,1786836121965,1786836123792,9.502,9.50129072146486,-2.1049308081740787,1.052354643514281,0.7464518366031954,0.7195000000017946,3.1572300568302607,-1.052410018942797,1827,161,179,binance_target_caught,9634.114550167285,9638.934017175872,1.0,1014.4110731610052,9.497249000000002,1,2,20,121395.0412,57.80468730100371,58.524187301005504
LINK_USDT,SHORT,1786836152833,1786836153004,1786836155958,9.500972987633453,9.498,-2.1049308081740787,1.0524654002012546,3.12914018103572,3.0536912687447146,3.12914018103572,-1.08095493786186,2954,171,1179,binance_target_caught,9754.031216834252,9758.882926535964,1.0,1027.1456343722068,9.4962495,2,1,20,115153.24320000001,58.524187301005504,61.57787856975022
LINK_USDT,LONG,1786836171419,1786836171594,1786836191385,9.49931622503466,9.496977972292655,2.105817328127028,1.0527978101818414,-2.4614958451880806,-2.52504977838085,0.0,-2.4383071157854093,19791,175,336,live_adverse_cut,10262.979761625036,10258.192323651529,1.0,1079.8874445948977,9.5037495,2,2,20,84312.9381,61.57787856975022,59.05282879136937
LINK_USDT,SHORT,1786836203885,1786836204047,1786836204395,9.492044070730426,9.494151469678346,-4.2125217831069115,2.1059281878476273,-2.2201740027934687,-2.1853082759201947,0.0,-6.274654042050954,348,162,221,live_adverse_cut,9842.138131894895,9842.959485025025,0.9999999999999998,1036.9694253081566,9.491252000000001,5,2,20,30336.477700000003,59.05282879136937,56.86752051544918
LINK_USDT,LONG,1786836206159,1786836206333,1786836215623,9.496111966277738,9.494,2.106260868195862,1.0531304302050677,-2.2240326201270175,-2.106891752579265,0.0,-2.2240326201270175,9290,174,596,live_adverse_cut,9477.920085908198,9473.295191411977,1.0,997.5972508594268,9.500748,2,1,20,100689.4117,56.86752051544918,54.76062876286991
DOGE_USDT,SHORT,1786836233854,1786836234034,1786836246150,0.06952,0.06952,-2.8762493906480615,1.4383315354183563,-0.0,-0.0,2.876869965476445,-1.4384349827382226,12116,180,208,binance_target_caught,9126.771460478318,9131.337129042839,1.0,131348.3476559672,0.06948524,1,1,20,517406.45999999996,54.76062876286991,54.76062876286991
LINK_USDT,SHORT,1786836265173,1786836265336,1786836269085,9.489,9.486999999999998,-2.107814730888238,1.053796301174399,2.1077036568684204,1.9246152658981972,2.107703656866548,-1.0538518284323382,3749,163,1269,binance_target_caught,9126.771460478318,9131.337129042839,1.0,962.3076329479226,9.484255500000002,1,1,20,137951.0796,54.76062876286991,56.68524402876811
LINK_USDT,LONG,1786836276955,1786836277125,1786836283855,9.488,9.488860296631202,2.107814730888771,1.054018445322209,0.9067207327177202,0.8562000000007894,2.1079258010125086,-1.0539629005053182,6730,170,208,binance_target_caught,9447.540671461351,9442.819261830437,1.0,995.238117815181,9.492743999999998,1,2,20,110876.40650000001,56.68524402876811,57.5414440287689
DOGE_USDT,LONG,1786836297715,1786836297898,1786836312579,0.06952,0.06953,2.877076909725058,1.4385384449393834,1.4384349827382226,1.3788043652882658,1.4384349827382226,-1.4384349827382226,14681,183,596,binance_target_caught,9590.240671461483,9585.447947487739,1.0,137880.43652888003,0.06955476,1,1,20,617209.158,57.5414440287689,58.92024839405717
DOGE_USDT,LONG,1786836313033,1786836313196,1786836338636,0.06954,0.06952,2.8758358095986036,1.4381246854116634,-2.8760425654308492,-2.8228742686501254,1.4380212827144265,-2.8760425654308492,25440,163,988,live_adverse_cut,9820.041399009528,9815.133832093481,1.0,141143.71343246306,0.06957477,1,1,20,655081.524,58.92024839405717,56.09737412540704
LINK_USDT,LONG,1786836339889,1786836340075,1786836343414,9.481245163499143,9.480757880196423,2.1095933837022964,1.0547966879378154,-0.5139444179711472,-0.4802878196967892,0.7961364650317158,-1.3132911106821612,3339,186,207,binance_target_caught,9349.562354234507,9345.131553189716,1.0,985.6439098491581,9.485740499999999,2,2,20,80416.8877,56.09737412540704,55.61708630571025
LINK_USDT,SHORT,1786836351968,1786836352132,1786836395245,9.47184392773115,9.48,-2.1102611526468738,6.33245382585776,-8.61086007231513,-7.985710466653729,0.0,-8.61086007231513,43113,164,318,live_adverse_cut,9269.514384285043,9273.998647740977,1.0,979.1122740725349,9.467264,2,1,20,131991.6565,55.61708630571025,47.631375839056524
LINK_USDT,SHORT,1786836411778,1786836411942,1786836416456,9.483,9.484,-2.108481374105832,1.0544630147091747,-1.0545186122529218,-0.8375549833166456,0.0,-3.1635558367606387,4514,164,197,live_adverse_cut,7938.562639842754,7942.533906796152,1.0,837.5549833171098,9.4782585,1,1,20,86281.0537,47.631375839056524,46.79382085573988
LINK_USDT,LONG,1786836423847,1786836424037,1786836431899,9.486,9.487984977150024,2.108259112853377,1.0542406831492512,2.0925333649834763,1.631144951119363,2.1083702298111864,-1.0541851149074657,7862,190,1794,binance_target_caught,7798.970142623313,7795.072606320154,1.0,821.7449511195607,9.490743,1,2,20,97078.15480000002,46.79382085573988,48.42496580685924
LINK_USDT,SHORT,1786836432319,1786836432519,1786836433589,9.487,9.487066087638937,-2.108036898453046,1.054018445322209,-0.06966126165958865,-0.05625052882988586,1.0540739959939347,-1.0540739959939347,1070,200,188,binance_target_caught,8070.827634476541,8074.865067010046,1.0,851.1505288299827,9.4822565,1,2,20,81499.3135,48.42496580685924,48.368715278029356
LINK_USDT,SHORT,1786836457675,1786836457844,1786836477864,9.485,9.488123763388465,-2.1087036822304612,1.0542406831492512,-3.293372048988678,-2.656264381226505,1.0542962572477026,-3.1628887717449805,20020,169,205,live_adverse_cut,8061.452546338226,8065.485288982716,1.0,850.3410953065595,9.4802575,1,2,20,107259.508,48.368715278029356,45.71245089680285
LINK_USDT,SHORT,1786836483593,1786836483757,1786836490373,9.487,9.489,-1.5811526635832454,1.054018445322209,-2.1081479919897417,-1.606946999616885,0.0,-2.1081479919897417,6616,164,856,live_adverse_cut,7618.741816133808,7622.553092680148,1.0,803.4734998081742,9.4822565,1,1,20,77006.1128,45.71245089680285,44.10550389718596
LINK_USDT,LONG,1786836491620,1786836491799,1786836497418,9.49,9.492,2.1075926101524898,1.053796301174399,2.107481559537058,1.5484180599268575,2.107481559537058,-1.053740779767593,5619,179,1774,binance_target_caught,7350.9173161976605,7347.243694350485,1.0,774.2090299631702,9.494745,1,1,20,136434.4451,44.10550389718596,45.65392195711282
LINK_USDT,SHORT,1786836501694,1786836501892,1786836517145,9.491,9.489,-2.1071485090857633,1.0535742506466017,2.1072595090073665,1.604213126023115,2.1072595090073665,-1.0536297545055548,15253,198,619,binance_target_caught,7608.986992852137,7612.7933895469105,1.0,802.106563012002,9.4862545,1,1,20,91329.85650000001,45.65392195711282,47.25813508313593
LINK_USDT,LONG,1786836522665,1786836522840,1786836544774,9.491000677013881,9.488926263542329,2.107370536223955,1.053685264210996,-2.1856636008639776,-1.7206462279502464,1.0529163574290619,-2.1079726806107,21934,175,1011,live_adverse_cut,7876.355847189322,7872.420198927624,1.0,829.4615569877396,9.4957455,2,2,20,186327.8836,47.25813508313593,45.537488855185686
LINK_USDT,SHORT,1786836558213,1786836558397,1786836559012,9.486,9.486,-3.6885786217191234,2.1081479919878694,-0.0,-0.0,1.0541851149074657,-2.1083702298111864,615,184,176,binance_target_caught,7589.581475864281,7593.378164946754,1.0,800.4826233340452,9.481257000000001,1,1,20,59258.226,45.537488855185686,45.537488855185686
LINK_USDT,SHORT,1786836602764,1786836602933,1786836610358,9.489,9.486,-2.107814730888238,1.053796301174399,3.1615554852988863,2.4006886389336204,6.323110970597773,-1.0538518284323382,7425,169,330,positive_trailing_stop,7589.581475864281,7593.378164946755,1.0,800.2295463111765,9.484255500000002,1,1,20,83328.94260000001,45.537488855185686,47.93817749411931
LINK_USDT,SHORT,1786836613792,1786836613972,1786836618262,9.48393325003985,9.483,-1.581569447375685,1.054351837207492,0.9840326953440834,0.7865999999986575,0.9840326953440834,-1.1247969930032988,4290,180,880,binance_target_caught,7989.696249019885,7993.636834633931,1.0,842.8609337376286,9.479258,2,1,20,78096.8151,47.93817749411931,48.724777494117966
LINK_USDT,LONG,1786836657102,1786836657313,1786836662155,9.480055473256218,9.481,1.5822367586609325,1.054907959281842,0.99633039748143,0.8086999999999857,0.99633039748143,-0.05851575064555432,4842,211,2997,binance_target_caught,8120.796249019661,8116.785376058532,1.0,856.1959789113524,9.48474,2,1,20,96781.58450000001,48.724777494117966,49.53347749411795
LINK_USDT,SHORT,1786836662446,1786836662636,1786836675590,9.479903615805965,9.485,-1.5821533139558266,1.0547966879378154,-5.375987352379333,-4.440364200676307,0.0,-5.375987352379333,12954,190,353,live_adverse_cut,8255.579582352993,8259.62545970475,1.0,871.2773667796971,9.47526,2,1,20,56939.507900000004,49.53347749411795,45.09311329344165
